KEYWORD    | int
ID         | x
DELIMITER  | ,
ID         | i
DELIMITER  | ;
ID         | x
ASSIGN     | =
INTEGER    | 0
DELIMITER  | ;
ID         | i
ASSIGN     | =
INTEGER    | 1
DELIMITER  | ;
KEYWORD    | while
DELIMITER  | (
ID         | i
OPERATOR   | <
INTEGER    | 10
DELIMITER  | )
KEYWORD    | do
ID         | x
ASSIGN     | =
ID         | x
OPERATOR   | +
ID         | i
OPERATOR   | *
ID         | i
DELIMITER  | ;
ID         | i
ASSIGN     | =
ID         | i
OPERATOR   | +
INTEGER    | 1
KEYWORD    | od
DELIMITER  | ;
KEYWORD    | print
DELIMITER  | (
ID         | x
DELIMITER  | )
DELIMITER  | ;
DELIMITER  | .
